,Video.Name,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,PSNR.By.Duration,Normalized.Size,SSIM.By.Duration,VIFp.By.Duration,Metric
83,Autumn_leaves_15.mp4,1920,1080,30.931,29.97,927,1470.096313,44.41763783,1,0.05347,0.99101,slow,67.29,220.9191895,6.808588028,39.69,0.977436131,0.740770292,1.93,1.965521364,1.945958989,1.281953062,1.50551534,1.966257454,1.533224127,1.517964305,2.3174502
84,Autumn_leaves_15.mp4,1920,1080,30.931,29.97,927,1470.096313,44.41763783,1,0.05347,0.99101,slower,200.38,222.8439941,6.867909431,39.83,0.977868091,0.744086629,2,2,2,2,1,2,1,1,1.5
85,Autumn_leaves_6.mp4,1920,1080,29.463,29.97,883,1483.974121,42.70868969,1,0.05172,0.99425,superfast,14.41,315.6816406,9.267041206,33.64,0.956854842,0.635399388,1,1,1,1,1,1,1,1,3
86,Autumn_leaves_6.mp4,1920,1080,29.463,29.97,883,1483.974121,42.70868969,1,0.05172,0.99425,veryfast,17.49,352.4361572,10.3459959,34.38,0.967003606,0.659784592,1.32034632,1.574936003,1.365819449,1.013176471,1.303175072,1.169445868,1.554453788,1.348056818,3.5963064
87,Autumn_leaves_6.mp4,1920,1080,29.463,29.97,883,1483.974121,42.70868969,1,0.05172,0.99425,faster,17.47,352.6671143,10.35277653,34.37,0.967014027,0.659656502,1.316017316,1.575526361,1.363897881,1.013090909,1.299012067,1.170510741,1.555167801,1.346273932,3.5885649
88,Autumn_leaves_6.mp4,1920,1080,29.463,29.97,883,1483.974121,42.70868969,1,0.05172,0.99425,fast,21.19,359.3516846,10.54900455,34.49,0.967742243,0.66318234,1.367965368,1.616780409,1.416791436,1.029005348,1.329405499,1.20132763,1.571207004,1.37685527,3.5606172
89,Autumn_leaves_6.mp4,1920,1080,29.463,29.97,883,1483.974121,42.70868969,1,0.05172,0.99425,medium,34.55,481.5286865,14.13559151,34.88,0.969479717,0.673370952,1.536796537,1.71520977,1.569637909,1.086160428,1.414889088,1.764587924,1.579149568,1.445125295,2.5156944
90,Autumn_leaves_6.mp4,1920,1080,29.463,29.97,883,1483.974121,42.70868969,1,0.05172,0.99425,slow,64.76,532.592041,15.6345892,35.65,0.973070629,0.694262915,1.87012987,1.918637951,1.883052814,1.21540107,1.538693619,2,1.57860479,1.549326277,2.3333123
91,Autumn_leaves_6.mp4,1920,1080,29.463,29.97,883,1483.974121,42.70868969,1,0.05172,0.99425,slower,248.16,531.4736328,15.60175705,35.95,0.974506831,0.702058512,2,2,2,2,1,1.994843832,1,1,1.5038771
92,Autumn_leaves_9.mp4,1920,1080,35.536,29.97,1065,1596.938354,55.43162346,1,0.1463,0.98756,superfast,16.2,89.9864502,3.186124802,42.8,0.983670591,0.745421967,1,1,1,1,1,2,1,1,1.5
